date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:30:54	19544/19544	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:34%20GMT	http://demo.highhay.com/casely/fonts/opensans/OpenSans-Bold-webfont.eot?	C:/My%20Web%20Sites/PROYECTO1/demo.highhay.com/casely/fonts/opensans/OpenSans-Bold-webfontd41d.eot	(from http://demo.highhay.com/casely/fonts/opensans/stylesheet.css)
08:30:54	235448/235448	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:35%20GMT	http://demo.highhay.com/casely/img/items/img-sample10.jpg	C:/My%20Web%20Sites/PROYECTO1/demo.highhay.com/casely/img/items/img-sample10.jpg	(from http://demo.highhay.com/casely/index-style2.html)
08:30:55	118259/118259	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:34%20GMT	http://demo.highhay.com/casely/fonts/opensans/OpenSans-Bold-webfont.svg	C:/My%20Web%20Sites/PROYECTO1/demo.highhay.com/casely/fonts/opensans/OpenSans-Bold-webfont.svg	(from http://demo.highhay.com/casely/fonts/opensans/stylesheet.css)
08:30:59	19329/19329	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:34%20GMT	http://demo.highhay.com/casely/fonts/opensans/opensans-light-webfont.eot	C:/My%20Web%20Sites/PROYECTO1/demo.highhay.com/casely/fonts/opensans/opensans-light-webfont.eot	(from http://demo.highhay.com/casely/fonts/opensans/stylesheet.css)
08:30:59	38452/38452	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:34%20GMT	http://demo.highhay.com/casely/fonts/opensans/OpenSans-Bold-webfont.ttf	C:/My%20Web%20Sites/PROYECTO1/demo.highhay.com/casely/fonts/opensans/OpenSans-Bold-webfont.ttf	(from http://demo.highhay.com/casely/fonts/opensans/stylesheet.css)
08:31:00	22880/22880	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:34%20GMT	http://demo.highhay.com/casely/fonts/opensans/opensans-light-webfont.woff	C:/My%20Web%20Sites/PROYECTO1/demo.highhay.com/casely/fonts/opensans/opensans-light-webfont.woff	(from http://demo.highhay.com/casely/fonts/opensans/stylesheet.css)
08:31:00	55453/55453	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:34%20GMT	http://demo.highhay.com/casely/fonts/opensans/opensans-light-webfont.svg	C:/My%20Web%20Sites/PROYECTO1/demo.highhay.com/casely/fonts/opensans/opensans-light-webfont.svg	(from http://demo.highhay.com/casely/fonts/opensans/stylesheet.css)
08:31:03	19329/19329	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:34%20GMT	http://demo.highhay.com/casely/fonts/opensans/opensans-light-webfont.eot?	C:/My%20Web%20Sites/PROYECTO1/demo.highhay.com/casely/fonts/opensans/opensans-light-webfontd41d.eot	(from http://demo.highhay.com/casely/fonts/opensans/stylesheet.css)
08:31:05	19882/19882	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:34%20GMT	http://demo.highhay.com/casely/fonts/opensans/opensans-regular-webfont.eot	C:/My%20Web%20Sites/PROYECTO1/demo.highhay.com/casely/fonts/opensans/opensans-regular-webfont.eot	(from http://demo.highhay.com/casely/fonts/opensans/stylesheet.css)
08:31:05	41956/41956	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:34%20GMT	http://demo.highhay.com/casely/fonts/opensans/opensans-light-webfont.ttf	C:/My%20Web%20Sites/PROYECTO1/demo.highhay.com/casely/fonts/opensans/opensans-light-webfont.ttf	(from http://demo.highhay.com/casely/fonts/opensans/stylesheet.css)
